customerId,arrivalTime,waitingTime1,waitingTime2,servingTime1,servingTime2
141,Fri Jan 01 17:31:00 IST 2021,140,140,1,6
142,Fri Jan 01 17:32:00 IST 2021,145,145,1,0
143,Fri Jan 01 17:33:00 IST 2021,145,145,1,6
144,Fri Jan 01 17:38:00 IST 2021,146,146,1,4
145,Fri Jan 01 17:49:00 IST 2021,140,140,1,2
146,Fri Jan 01 17:54:00 IST 2021,138,138,1,1
147,Mon Jan 04 08:00:00 IST 2021,0,0,1,4
148,Mon Jan 04 08:00:00 IST 2021,4,4,1,0
149,Mon Jan 04 08:00:00 IST 2021,4,4,1,2
150,Mon Jan 04 08:02:00 IST 2021,4,4,1,1
